transcript	counts
ENST00000313022	0
ENST00000262105	2209
ENST00000444723	0
ENST00000510994	44
ENST00000319006	882
ENST00000205890	0
ENST00000331758	13
ENST00000391807	0
ENST00000519065	1087
ENST00000247225	90
ENST00000200453	10
ENST00000314499	8
ENST00000370357	0
ENST00000543683	428
ENST00000618852	151
ENST00000428680	76
ENST00000358047	0
ENST00000301280	286
ENST00000546910	0
ENST00000431828	150
ENST00000318225	0
ENST00000367342	6
ENST00000319331	1
ENST00000422861	0
ENST00000609713	0
ENST00000581138	0
ENST00000368704	0
ENST00000322139	0
ENST00000564000	11
ENST00000409259	0
ENST00000409241	1
ENST00000311659	0
ENST00000553106	0
ENST00000534716	164
ENST00000325926	56
ENST00000367618	0
ENST00000225298	453
ENST00000357484	64
ENST00000308824	59
ENST00000395184	8
ENST00000483793	0
ENST00000254742	15
ENST00000398117	14
ENST00000308268	0
ENST00000314471	292
ENST00000328698	0
ENST00000336600	0
ENST00000294618	32
ENST00000342179	262
ENST00000367800	76
ENST00000429849	0
ENST00000436978	267
ENST00000540033	76
ENST00000409382	0
ENST00000372232	36
ENST00000624204	136
ENST00000310194	0
ENST00000280734	2
ENST00000361510	301
ENST00000293330	0
ENST00000457167	695
ENST00000285871	0
ENST00000375031	7
ENST00000334056	0
ENST00000559485	0
ENST00000291900	105
ENST00000323019	23
ENST00000323963	198
ENST00000370519	0
ENST00000277120	0
ENST00000636477	0
ENST00000372945	298
ENST00000621028	0
ENST00000229554	2
ENST00000265198	0
ENST00000360280	201
ENST00000400206	321
ENST00000280904	216
ENST00000346329	429
ENST00000426126	77
ENST00000312475	171
ENST00000616701	0
ENST00000582970	189
ENST00000292513	0
ENST00000235382	35
ENST00000374695	113
ENST00000012443	589
ENST00000533683	143
ENST00000374902	250
ENST00000450136	49
ENST00000618957	0
ENST00000524558	432
ENST00000334705	67
ENST00000335211	0
ENST00000548884	1
ENST00000373674	2
ENST00000215832	432
ENST00000392769	50
ENST00000336232	0
ENST00000375128	59
ENST00000242804	0
ENST00000380371	0
ENST00000261318	19
ENST00000399564	0
ENST00000251195	445
ENST00000400017	0
ENST00000635914	163
ENST00000373023	79
ENST00000425380	25
ENST00000469083	0
ENST00000306006	47
ENST00000366600	48
ENST00000317802	0
ENST00000525380	0
ENST00000613760	0
ENST00000537505	257
ENST00000410080	828
ENST00000532223	0
ENST00000256689	713
ENST00000314032	0
ENST00000396356	5
ENST00000458121	1
ENST00000533400	0
ENST00000376926	14
ENST00000290277	114
ENST00000241261	0
ENST00000394434	1403
ENST00000340413	400
ENST00000254322	339
ENST00000229304	0
ENST00000381591	76
ENST00000439649	30
ENST00000372299	0
ENST00000545908	1162
ENST00000360631	60
ENST00000280245	0
ENST00000368685	78
ENST00000002829	10
ENST00000258457	61
ENST00000372004	67
ENST00000394132	19
ENST00000398606	264
ENST00000263847	231
ENST00000323030	0
ENST00000361644	0
ENST00000305141	1
ENST00000278823	595
ENST00000381154	0
ENST00000367147	3
ENST00000337908	0
ENST00000490107	39
ENST00000356264	38
ENST00000329758	0
ENST00000566264	0
ENST00000504104	0
ENST00000636071	0
ENST00000301761	89
ENST00000383718	55
ENST00000407073	7
ENST00000534548	584
ENST00000263642	34
ENST00000367674	0
ENST00000290765	0
ENST00000361731	163
ENST00000234875	524
ENST00000451315	559
ENST00000636502	0
ENST00000368192	72
ENST00000242257	88
ENST00000222553	107
ENST00000321355	0
ENST00000262424	2
ENST00000395850	231
ENST00000287538	4
ENST00000393561	680
ENST00000451085	3
ENST00000323090	3
ENST00000330055	5
ENST00000255082	0
ENST00000450434	0
ENST00000566480	240
ENST00000327741	0
ENST00000409671	0
ENST00000588304	0
ENST00000414645	44
ENST00000579016	28
ENST00000212015	180
ENST00000360658	0
ENST00000405863	0
