transcript	counts
ENST00000313022	0
ENST00000262105	95
ENST00000444723	0
ENST00000510994	44
ENST00000319006	145
ENST00000205890	0
ENST00000331758	3
ENST00000391807	0
ENST00000519065	231
ENST00000247225	9
ENST00000200453	1
ENST00000314499	0
ENST00000370357	0
ENST00000543683	157
ENST00000618852	10
ENST00000428680	5
ENST00000358047	0
ENST00000301280	16
ENST00000546910	0
ENST00000431828	7
ENST00000318225	0
ENST00000367342	0
ENST00000319331	0
ENST00000422861	0
ENST00000609713	0
ENST00000581138	0
ENST00000368704	0
ENST00000322139	0
ENST00000564000	8
ENST00000409259	0
ENST00000409241	0
ENST00000311659	0
ENST00000553106	0
ENST00000534716	48
ENST00000325926	31
ENST00000367618	0
ENST00000225298	101
ENST00000357484	18
ENST00000308824	8
ENST00000395184	1
ENST00000483793	0
ENST00000254742	9
ENST00000398117	2
ENST00000308268	0
ENST00000314471	22
ENST00000328698	0
ENST00000336600	0
ENST00000294618	0
ENST00000342179	23
ENST00000367800	3
ENST00000429849	0
ENST00000436978	2
ENST00000540033	11
ENST00000409382	0
ENST00000372232	17
ENST00000624204	11
ENST00000310194	0
ENST00000280734	0
ENST00000361510	17
ENST00000293330	0
ENST00000457167	82
ENST00000285871	0
ENST00000375031	3
ENST00000334056	0
ENST00000559485	0
ENST00000291900	4
ENST00000323019	2
ENST00000323963	38
ENST00000370519	0
ENST00000277120	0
ENST00000636477	0
ENST00000372945	121
ENST00000621028	0
ENST00000229554	0
ENST00000265198	0
ENST00000360280	2
ENST00000400206	24
ENST00000280904	13
ENST00000346329	21
ENST00000426126	4
ENST00000312475	27
ENST00000616701	0
ENST00000582970	1
ENST00000292513	0
ENST00000235382	9
ENST00000374695	1
ENST00000012443	44
ENST00000533683	32
ENST00000374902	26
ENST00000450136	2
ENST00000618957	0
ENST00000524558	64
ENST00000334705	12
ENST00000335211	0
ENST00000548884	0
ENST00000373674	0
ENST00000215832	46
ENST00000392769	8
ENST00000336232	0
ENST00000375128	12
ENST00000242804	0
ENST00000380371	0
ENST00000261318	0
ENST00000399564	0
ENST00000251195	29
ENST00000400017	0
ENST00000635914	20
ENST00000373023	4
ENST00000425380	7
ENST00000469083	0
ENST00000306006	2
ENST00000366600	6
ENST00000317802	0
ENST00000525380	0
ENST00000613760	0
ENST00000537505	29
ENST00000410080	37
ENST00000532223	0
ENST00000256689	127
ENST00000314032	0
ENST00000396356	0
ENST00000458121	0
ENST00000533400	0
ENST00000376926	0
ENST00000290277	7
ENST00000241261	0
ENST00000394434	75
ENST00000340413	74
ENST00000254322	39
ENST00000229304	0
ENST00000381591	1
ENST00000439649	1
ENST00000372299	0
ENST00000545908	39
ENST00000360631	3
ENST00000280245	0
ENST00000368685	22
ENST00000002829	1
ENST00000258457	13
ENST00000372004	2
ENST00000394132	8
ENST00000398606	102
ENST00000263847	6
ENST00000323030	0
ENST00000361644	0
ENST00000305141	0
ENST00000278823	38
ENST00000381154	0
ENST00000367147	1
ENST00000337908	0
ENST00000490107	3
ENST00000356264	6
ENST00000329758	0
ENST00000566264	0
ENST00000504104	0
ENST00000636071	0
ENST00000301761	41
ENST00000383718	3
ENST00000407073	0
ENST00000534548	16
ENST00000263642	4
ENST00000367674	0
ENST00000290765	0
