RocA-up-regulated	RocA-down-regulated
MT-ND5	RBBP7
MT-ATP6	KPNB1
MT-CYB	HNRNPD
MT-ND4	HNRNPAB
MT-ND1	SLC1A5
HIST1H3B	HUWE1
MT-CO3	XPO1
MT-ND2	HNRNPF
C1QBP	ATP2A2
MT-CO2	CLTC
GPI	ZNF711
HIST1H4B	H2AFY
LDHA	NUCKS1
DYNC1H1	MYC
HIST1H2AH	CTNNB1
NUP205	YWHAE
ATP5C1	HACD3
HIST2H2BE	HNRNPU
CCT3	FBN2
HIST1H4D	VCP
ATP5B	RPS19
VCL	CSDE1
NAA25	PARP1
KHDRBS1	PEG10
RRM2	ENO1
RPS23	NONO
TSR1	SSRP1
HIST1H3D	MORF4L2
DDX5	CENPF
MRPS27	FDFT1
PGD	TRIM28
HIST1H2BD	KLHL15
ATIC	TRA2B
P4HB	PPP2CA
RPS17	LDHB
MRPS35	HSPH1
PPIB	TMPO
CTSC	CDK1
MT-ATP8	NAA15
GANAB	GNB1
TUBB4B	CNN3
HIST1H4E	TLN1
MT-ND4L	TUBB
KIAA0100	KIF5B
DLST	LBR
GPX1	ODC1
PSAT1	PABPC4
MINPP1	BUB3
DYNC2H1	TMBIM6
NUP155	PABPC1
SRPRB	LGALS3BP
TPI1	PPP2R2A
PFKP	HNRNPA2B1
HIST2H2BF	SMARCA5
NDUFAB1	SNRNP70
RPS24	COPA
BOD1L1	BCOR
GCN1	WNK1
KMT2A	COPB1
MTCH2	RANGAP1
MIA3	PSMD1
RPS13	PRKAR1A
PPT1	YWHAB
SUCLG1	AP1B1
HIST2H2AB	YME1L1
MIF	JUN
FAU	SLIT2
HIST1H3H	WLS
MT-CO1	DLD
RPA3	SLC16A1
ALYREF	PPP1CC
GADD45GIP1	LAMC1
HIST1H3A	EIF3B
DDX52	CCND2
HIST1H2AB	SRSF3
MT-ND3	DEGS1
KRT10	CAND1
UQCRB	PDCD4
ABCB7	GSTO1
GTPBP4	MCMBP
ATP5F1	ANP32E
