gene_id	DMSO-1	DMSO-2	RocA003	RocA03	RocA3
ENSG00000000003	254	158	175	22	64
ENSG00000000005	0	0	0	0	0
ENSG00000000419	418	282	261	39	212
ENSG00000000457	58	30	22	2	15
ENSG00000000460	201	145	161	39	104
ENSG00000000938	0	0	0	0	0
ENSG00000000971	7	2	1	0	0
ENSG00000001036	307	232	157	19	48
ENSG00000001084	194	143	52	4	18
ENSG00000001167	196	158	47	7	11
ENSG00000001460	55	52	29	3	7
ENSG00000001461	96	66	26	2	8
ENSG00000001497	602	403	311	29	123
ENSG00000001561	98	71	55	6	8
ENSG00000001617	11	10	2	0	1
ENSG00000001626	0	1	0	0	0
ENSG00000001629	47	38	15	3	7
ENSG00000001630	285	228	163	26	59
ENSG00000001631	115	74	30	2	13
ENSG00000002016	36	22	19	4	31
ENSG00000002330	51	35	32	6	34
ENSG00000002549	296	214	146	19	71
ENSG00000002586	36	29	31	8	38
ENSG00000002587	0	0	0	0	0
ENSG00000002726	0	0	0	0	0
ENSG00000002745	8	8	2	1	2
ENSG00000002746	5	2	2	1	0
ENSG00000002822	92	85	52	5	55
ENSG00000002834	208	130	130	27	78
ENSG00000002919	45	21	25	4	21
ENSG00000002933	0	0	0	0	0
ENSG00000003056	295	227	159	16	81
ENSG00000003096	131	87	49	2	17
ENSG00000003137	4	11	4	0	0
ENSG00000003147	10	6	4	1	3
ENSG00000003249	29	26	26	8	60
ENSG00000003393	89	67	49	4	30
ENSG00000003400	13	8	12	0	2
ENSG00000003402	46	38	12	3	9
ENSG00000003436	75	66	61	6	10
ENSG00000003509	84	56	47	2	37
ENSG00000003756	229	162	99	24	91
ENSG00000003987	52	33	32	10	18
ENSG00000003989	364	231	170	36	110
ENSG00000004059	606	398	424	128	411
ENSG00000004139	140	114	82	17	101
ENSG00000004142	444	368	372	94	274
ENSG00000004399	41	32	44	9	44
ENSG00000004455	314	234	175	19	62
ENSG00000004468	1	0	0	0	0
ENSG00000004478	2904	2081	1695	171	614
ENSG00000004487	1304	948	672	59	352
ENSG00000004534	179	127	93	14	60
