transcript	counts
ENST00000313022	0
ENST00000262105	599
ENST00000444723	0
ENST00000510994	41
ENST00000319006	554
ENST00000205890	0
ENST00000331758	26
ENST00000391807	0
ENST00000519065	149
ENST00000247225	31
ENST00000200453	34
ENST00000314499	5
ENST00000370357	0
ENST00000543683	265
ENST00000618852	28
ENST00000428680	10
ENST00000358047	0
ENST00000301280	63
ENST00000546910	0
ENST00000431828	75
ENST00000318225	0
ENST00000367342	5
ENST00000319331	0
ENST00000422861	8
ENST00000609713	0
ENST00000581138	0
ENST00000368704	0
ENST00000322139	0
ENST00000564000	25
ENST00000409259	0
ENST00000409241	0
ENST00000311659	0
ENST00000553106	0
ENST00000534716	173
ENST00000325926	18
ENST00000367618	0
ENST00000225298	264
ENST00000357484	28
ENST00000308824	11
ENST00000395184	0
ENST00000483793	0
ENST00000254742	12
ENST00000398117	0
ENST00000308268	0
ENST00000314471	16
ENST00000328698	0
ENST00000336600	0
ENST00000294618	20
ENST00000342179	95
ENST00000367800	21
ENST00000429849	0
ENST00000436978	27
ENST00000540033	9
ENST00000409382	0
ENST00000372232	4
ENST00000624204	49
ENST00000310194	0
ENST00000280734	2
ENST00000361510	95
ENST00000293330	0
ENST00000457167	339
ENST00000285871	1
ENST00000375031	6
ENST00000334056	0
ENST00000559485	0
ENST00000291900	8
ENST00000323019	13
ENST00000323963	245
ENST00000370519	0
ENST00000277120	0
ENST00000636477	0
ENST00000372945	199
ENST00000621028	0
ENST00000229554	0
ENST00000265198	1
ENST00000360280	41
ENST00000400206	48
ENST00000280904	23
ENST00000346329	140
ENST00000426126	41
ENST00000312475	170
ENST00000616701	1
ENST00000582970	106
ENST00000292513	0
ENST00000235382	50
ENST00000374695	30
ENST00000012443	257
ENST00000533683	56
ENST00000374902	76
ENST00000450136	23
ENST00000618957	0
ENST00000524558	108
ENST00000334705	24
ENST00000335211	0
ENST00000548884	1
ENST00000373674	0
ENST00000215832	75
ENST00000392769	20
ENST00000336232	0
ENST00000375128	19
ENST00000242804	0
ENST00000380371	0
ENST00000261318	12
ENST00000399564	0
ENST00000251195	69
ENST00000400017	0
ENST00000635914	17
ENST00000373023	65
ENST00000425380	12
ENST00000469083	0
ENST00000306006	16
ENST00000366600	22
ENST00000317802	0
ENST00000525380	0
ENST00000613760	0
ENST00000537505	95
ENST00000410080	304
ENST00000532223	0
ENST00000256689	71
ENST00000314032	1
ENST00000396356	3
ENST00000458121	0
ENST00000533400	0
ENST00000376926	9
ENST00000290277	36
ENST00000241261	0
ENST00000394434	336
ENST00000340413	186
ENST00000254322	211
ENST00000229304	0
ENST00000381591	12
ENST00000439649	2
ENST00000372299	0
ENST00000545908	551
ENST00000360631	13
ENST00000280245	0
ENST00000368685	136
ENST00000002829	1
ENST00000258457	60
ENST00000372004	9
ENST00000394132	5
ENST00000398606	298
ENST00000263847	139
ENST00000323030	0
ENST00000361644	0
ENST00000305141	1
ENST00000278823	59
ENST00000381154	0
ENST00000367147	1
ENST00000337908	0
ENST00000490107	2
ENST00000356264	50
ENST00000329758	0
ENST00000566264	0
ENST00000504104	0
ENST00000636071	0
ENST00000301761	99
ENST00000383718	4
ENST00000407073	2
ENST00000534548	580
ENST00000263642	7
ENST00000367674	0
ENST00000290765	0
ENST00000361731	109
ENST00000234875	702
ENST00000451315	444
ENST00000636502	0
ENST00000368192	22
ENST00000242257	156
ENST00000222553	41
ENST00000321355	0
ENST00000262424	0
ENST00000395850	64
ENST00000287538	0
ENST00000393561	141
ENST00000451085	0
ENST00000323090	1
ENST00000330055	1
ENST00000255082	0
ENST00000450434	0
ENST00000566480	39
ENST00000327741	0
ENST00000409671	0
ENST00000588304	0
ENST00000414645	9
ENST00000579016	19
ENST00000212015	46
ENST00000360658	0
ENST00000405863	0
ENST00000234071	1
ENST00000409860	106
ENST00000381249	29
ENST00000396197	4
ENST00000379416	0
ENST00000204726	60
