trans_id	strand	gene_id	gene_name	gene_biotype	gene_start	gene_stop	trans_start	trans_start	CDS_length	5UTR_length	3UTR_length	transcript_length
ENST00000361567	+	ENSG00000198786	MT-ND5	protein_coding	12337	14148	1	1812	1812	0	0	1812
ENST00000361899	+	ENSG00000198899	MT-ATP6	protein_coding	8527	9207	1	681	681	0	0	681
ENST00000361789	+	ENSG00000198727	MT-CYB	protein_coding	14747	15887	1	1144	1144	0	-3	1141
ENST00000361381	+	ENSG00000198886	MT-ND4	protein_coding	10760	12137	1	1381	1381	0	-3	1378
ENST00000361390	+	ENSG00000198888	MT-ND1	protein_coding	3307	4262	1	959	959	0	-3	956
ENST00000621411	-	ENSG00000274267	HIST1H3B	protein_coding	26031650	26032060	1	411	411	0	0	411
ENST00000362079	+	ENSG00000198938	MT-CO3	protein_coding	9207	9990	1	787	787	0	-3	784
ENST00000361453	+	ENSG00000198763	MT-ND2	protein_coding	4470	5511	1	1045	1045	0	-3	1042
ENST00000225698	-	ENSG00000108561	C1QBP	protein_coding	5432777	5439155	83	931	849	82	238	1169
ENST00000361739	+	ENSG00000198712	MT-CO2	protein_coding	7586	8269	1	684	684	0	0	684
ENST00000415930	+	ENSG00000105220	GPI	protein_coding	34364740	34402156	171	1880	1710	170	2120	4000
ENST00000377745	-	ENSG00000278705	HIST1H4B	protein_coding	26026815	26027252	1	312	312	0	126	438
ENST00000422447	+	ENSG00000134333	LDHA	protein_coding	18394388	18408425	274	1272	999	273	1144	2416
ENST00000360184	+	ENSG00000197102	DYNC1H1	protein_coding	101964528	102050791	165	14105	13941	164	228	14333
ENST00000377459	+	ENSG00000274997	HIST1H2AH	protein_coding	27147129	27147515	1	387	387	0	0	387
ENST00000285968	+	ENSG00000155561	NUP205	protein_coding	135557919	135648757	27	6065	6039	26	201	6266
ENST00000356708	+	ENSG00000165629	ATP5C1	protein_coding	7788129	7807815	80	976	897	79	187	1163
ENST00000369155	-	ENSG00000184678	HIST2H2BE	protein_coding	149884459	149886652	13	393	381	12	1801	2194
ENST00000295688	-	ENSG00000163468	CCT3	protein_coding	156308968	156338465	282	1919	1638	281	231	2150
ENST00000614247	-	ENSG00000277157	HIST1H4D	protein_coding	26188765	26189076	1	312	312	0	0	312
ENST00000262030	-	ENSG00000110955	ATP5B	protein_coding	56638179	56646068	106	1695	1590	105	144	1839
ENST00000372755	+	ENSG00000035403	VCL	protein_coding	73998114	74121363	95	3295	3201	94	3194	6489
ENST00000261745	-	ENSG00000111300	NAA25	protein_coding	112026689	112109022	250	3168	2919	249	2842	6010
ENST00000327300	+	ENSG00000121774	KHDRBS1	protein_coding	32013829	32043882	168	1499	1332	167	1258	2757
ENST00000360566	+	ENSG00000171848	RRM2	protein_coding	10122328	10131418	292	1641	1350	291	2032	3673
ENST00000296674	-	ENSG00000186468	RPS23	protein_coding	82273358	82278577	255	686	432	254	2751	3437
ENST00000301364	-	ENSG00000167721	TSR1	protein_coding	2322503	2337507	1081	3495	2415	1080	1693	5188
ENST00000356476	-	ENSG00000197409	HIST1H3D	protein_coding	26196840	26197250	1	411	411	0	0	411
