DMSO-1	DMSO-2	RocA-003	RocA-03	RocA-3
ENST00000262160	ENST00000262160	ENST00000262160	ENST00000262160	ENST00000262160
ENST00000613904	ENST00000613904	ENST00000613904	ENST00000613904	ENST00000613904
ENST00000286648	ENST00000286648	ENST00000286648	ENST00000286648	ENST00000286648
ENST00000400181	ENST00000400181	ENST00000400181	ENST00000400181	ENST00000400181
ENST00000343933	ENST00000343933	ENST00000536680	ENST00000343933	ENST00000260385
ENST00000536680	ENST00000536680	ENST00000260385	ENST00000260385	ENST00000246548
ENST00000260385	ENST00000260385	ENST00000246548	ENST00000246548	ENST00000157600
ENST00000246548	ENST00000246548	ENST00000157600	ENST00000157600	ENST00000216115
ENST00000157600	ENST00000157600	ENST00000216115	ENST00000393695	ENST00000393695
ENST00000216115	ENST00000216115	ENST00000393695	ENST00000310999	ENST00000310999
ENST00000393695	ENST00000393695	ENST00000310999	ENST00000263681	ENST00000263681
ENST00000310999	ENST00000310999	ENST00000263681	ENST00000297613	ENST00000297613
ENST00000263681	ENST00000263681	ENST00000297613	ENST00000368404	ENST00000368404
ENST00000297613	ENST00000297613	ENST00000368404	ENST00000443070	ENST00000443070
ENST00000366960	ENST00000366960	ENST00000443070	ENST00000588025	ENST00000588025
ENST00000368404	ENST00000368404	ENST00000588025	ENST00000352645	ENST00000352645
ENST00000443070	ENST00000443070	ENST00000352645	ENST00000368836	ENST00000368836
ENST00000588025	ENST00000588025	ENST00000368836	ENST00000578270	ENST00000631683
ENST00000352645	ENST00000352645	ENST00000631683	ENST00000356853	ENST00000578270
ENST00000368836	ENST00000368836	ENST00000578270	ENST00000360566	ENST00000356853
ENST00000631683	ENST00000379655	ENST00000356853	ENST00000425232	ENST00000360566
ENST00000578270	ENST00000578270	ENST00000224784	ENST00000287322	ENST00000360187
ENST00000356853	ENST00000631683	ENST00000360566	ENST00000295121	ENST00000425232
ENST00000224784	ENST00000356853	ENST00000360187	ENST00000540200	ENST00000287322
ENST00000295417	ENST00000224784	ENST00000425232	ENST00000255759	ENST00000295121
ENST00000360566	ENST00000295417	ENST00000397621	ENST00000316059	ENST00000540200
ENST00000360187	ENST00000360566	ENST00000287322	ENST00000360612	ENST00000255759
ENST00000425232	ENST00000360187	ENST00000295121	ENST00000233336	ENST00000316059
ENST00000397621	ENST00000425232	ENST00000540200	ENST00000360280	ENST00000360612
ENST00000287322	ENST00000397621	ENST00000255759	ENST00000398846	ENST00000233336
ENST00000295121	ENST00000287322	ENST00000316059	ENST00000245615	ENST00000398846
ENST00000540200	ENST00000295121	ENST00000360612	ENST00000312579	ENST00000245615
ENST00000255759	ENST00000540200	ENST00000233336	ENST00000380591	ENST00000312579
