trans_id	strand	gene_id	gene_name	gene_biotype	gene_start	gene_stop	trans_start	trans_start	CDS_length	5UTR_length	3UTR_length	transcript_length
ENST00000380087	-	ENSG00000102054	RBBP7	protein_coding	16844341	16870414	362	1639	1278	361	694	2333
ENST00000290158	+	ENSG00000108424	KPNB1	protein_coding	47649838	47685505	408	3038	2631	407	3101	6139
ENST00000313899	-	ENSG00000138668	HNRNPD	protein_coding	82352498	82373956	279	1346	1068	278	1687	3033
ENST00000358344	+	ENSG00000197451	HNRNPAB	protein_coding	178204507	178211163	258	1256	999	257	540	1796
ENST00000542575	-	ENSG00000105281	SLC1A5	protein_coding	46774883	46788594	630	2255	1626	629	627	2882
ENST00000342160	-	ENSG00000086758	HUWE1	protein_coding	53532096	53684169	459	13583	13125	458	1213	14796
ENST00000401558	-	ENSG00000082898	XPO1	protein_coding	61477849	61538283	729	3944	3216	728	971	4915
ENST00000443950	-	ENSG00000169813	HNRNPF	protein_coding	43385617	43396831	488	1735	1248	487	1020	2755
ENST00000308664	+	ENSG00000174437	ATP2A2	protein_coding	110281116	110351090	675	3668	2994	674	785	4453
ENST00000621829	+	ENSG00000141367	CLTC	protein_coding	59619689	59696956	444	5483	5040	443	3104	8587
ENST00000360700	+	ENSG00000147180	ZNF711	protein_coding	85244765	85273362	887	3310	2424	886	1534	4844
ENST00000511689	-	ENSG00000113648	H2AFY	protein_coding	135333900	135399622	595	1713	1119	594	1076	2789
ENST00000367142	-	ENSG00000069275	NUCKS1	protein_coding	205712819	205750276	304	1035	732	303	5461	6496
ENST00000621592	+	ENSG00000136997	MYC	protein_coding	127736069	127741434	526	1890	1365	525	476	2366
ENST00000349496	+	ENSG00000168036	CTNNB1	protein_coding	41199439	41240453	281	2626	2346	280	1111	3737
ENST00000264335	-	ENSG00000108953	YWHAE	protein_coding	1344272	1400378	269	1036	768	268	1175	2211
ENST00000261875	+	ENSG00000074696	HACD3	protein_coding	65530466	65578352	167	1255	1089	166	1973	3228
ENST00000640218	-	ENSG00000153187	HNRNPU	protein_coding	244850300	244864537	231	2708	2478	230	4150	6858
ENST00000508053	-	ENSG00000138829	FBN2	protein_coding	128258037	128659185	976	9714	8739	975	1418	11132
ENST00000358901	-	ENSG00000165280	VCP	protein_coding	35056064	35073249	897	3317	2421	896	1053	4370
