transcript	counts
ENST00000313022	0
ENST00000262105	87
ENST00000444723	0
ENST00000510994	36
ENST00000319006	148
ENST00000205890	0
ENST00000331758	5
ENST00000391807	0
ENST00000519065	185
ENST00000247225	14
ENST00000200453	1
ENST00000314499	0
ENST00000370357	0
ENST00000543683	175
ENST00000618852	4
ENST00000428680	8
ENST00000358047	0
ENST00000301280	15
ENST00000546910	0
ENST00000431828	14
ENST00000318225	0
ENST00000367342	0
ENST00000319331	0
ENST00000422861	0
ENST00000609713	0
ENST00000581138	0
ENST00000368704	0
ENST00000322139	0
ENST00000564000	4
ENST00000409259	0
ENST00000409241	0
ENST00000311659	0
ENST00000553106	0
ENST00000534716	66
ENST00000325926	25
ENST00000367618	0
ENST00000225298	101
ENST00000357484	10
ENST00000308824	4
ENST00000395184	4
ENST00000483793	0
ENST00000254742	14
ENST00000398117	2
ENST00000308268	0
ENST00000314471	18
ENST00000328698	0
ENST00000336600	0
ENST00000294618	1
ENST00000342179	20
ENST00000367800	3
ENST00000429849	0
ENST00000436978	2
ENST00000540033	3
ENST00000409382	0
ENST00000372232	9
ENST00000624204	11
ENST00000310194	0
ENST00000280734	0
ENST00000361510	23
ENST00000293330	0
ENST00000457167	82
ENST00000285871	0
ENST00000375031	1
ENST00000334056	0
ENST00000559485	0
ENST00000291900	8
ENST00000323019	2
ENST00000323963	35
ENST00000370519	0
ENST00000277120	0
ENST00000636477	0
ENST00000372945	97
ENST00000621028	0
ENST00000229554	0
ENST00000265198	0
ENST00000360280	4
ENST00000400206	23
ENST00000280904	14
ENST00000346329	20
ENST00000426126	13
ENST00000312475	30
ENST00000616701	0
ENST00000582970	5
ENST00000292513	0
ENST00000235382	8
ENST00000374695	1
ENST00000012443	35
ENST00000533683	25
ENST00000374902	12
ENST00000450136	4
ENST00000618957	0
ENST00000524558	37
ENST00000334705	10
ENST00000335211	0
ENST00000548884	0
ENST00000373674	0
ENST00000215832	39
ENST00000392769	5
ENST00000336232	0
ENST00000375128	10
ENST00000242804	0
ENST00000380371	0
ENST00000261318	6
ENST00000399564	0
ENST00000251195	12
ENST00000400017	0
ENST00000635914	6
ENST00000373023	3
ENST00000425380	4
ENST00000469083	0
ENST00000306006	3
ENST00000366600	9
ENST00000317802	0
ENST00000525380	0
ENST00000613760	0
ENST00000537505	23
ENST00000410080	38
ENST00000532223	0
ENST00000256689	96
ENST00000314032	0
ENST00000396356	0
ENST00000458121	2
ENST00000533400	0
ENST00000376926	1
ENST00000290277	1
ENST00000241261	0
ENST00000394434	64
ENST00000340413	62
ENST00000254322	37
ENST00000229304	0
ENST00000381591	2
ENST00000439649	2
ENST00000372299	0
ENST00000545908	47
ENST00000360631	8
ENST00000280245	0
ENST00000368685	41
ENST00000002829	0
ENST00000258457	19
ENST00000372004	2
ENST00000394132	3
ENST00000398606	113
ENST00000263847	2
ENST00000323030	0
ENST00000361644	0
ENST00000305141	0
ENST00000278823	23
ENST00000381154	0
ENST00000367147	0
ENST00000337908	0
ENST00000490107	0
ENST00000356264	1
ENST00000329758	0
ENST00000566264	0
ENST00000504104	0
ENST00000636071	0
ENST00000301761	41
ENST00000383718	3
ENST00000407073	0
ENST00000534548	31
ENST00000263642	1
ENST00000367674	0
ENST00000290765	0
ENST00000361731	43
ENST00000234875	356
ENST00000451315	57
ENST00000636502	0
ENST00000368192	3
ENST00000242257	38
ENST00000222553	15
ENST00000321355	0
ENST00000262424	0
ENST00000395850	66
ENST00000287538	0
ENST00000393561	14
ENST00000451085	0
ENST00000323090	0
ENST00000330055	0
ENST00000255082	0
ENST00000450434	0
ENST00000566480	40
ENST00000327741	0
ENST00000409671	0
ENST00000588304	0
ENST00000414645	6
ENST00000579016	1
ENST00000212015	3
ENST00000360658	0
ENST00000405863	0
ENST00000234071	0
ENST00000409860	41
ENST00000381249	5
ENST00000396197	4
ENST00000379416	0
ENST00000204726	11
ENST00000359114	51
ENST00000296980	0
ENST00000295121	9
ENST00000301012	9
ENST00000396113	11
ENST00000501748	3
ENST00000287272	0
ENST00000393603	8
ENST00000396008	1
ENST00000304271	12
ENST00000591517	1
ENST00000335552	0
ENST00000376004	18
ENST00000388968	190
ENST00000372396	9
ENST00000389658	1
ENST00000329805	0
ENST00000292475	335
ENST00000322349	12
ENST00000349394	36
ENST00000368223	2
ENST00000458170	0
ENST00000322310	59
ENST00000347667	10
ENST00000373025	0
ENST00000620364	2
ENST00000627543	6
ENST00000610511	0
ENST00000361357	0
ENST00000376659	2
ENST00000264731	0
ENST00000400286	0
ENST00000412554	0
ENST00000264027	34
ENST00000251303	0
ENST00000629685	8
ENST00000321762	0
ENST00000524765	0
ENST00000392562	64
ENST00000375662	1
ENST00000565468	2
ENST00000529844	2
ENST00000316824	9
ENST00000504543	0
ENST00000221494	88
ENST00000338222	13
ENST00000394015	0
ENST00000397902	1
ENST00000255476	6
ENST00000393931	15
ENST00000433083	0
ENST00000356839	14
ENST00000622277	54
ENST00000247306	0
ENST00000244336	0
ENST00000295092	0
ENST00000372902	28
ENST00000270460	33
ENST00000333050	15
ENST00000409474	0
ENST00000304385	0
ENST00000535378	0
ENST00000322122	0
ENST00000307050	0
ENST00000620264	0
ENST00000217423	0
ENST00000338483	0
ENST00000454366	35
ENST00000391759	5
ENST00000367084	8
ENST00000372134	219
ENST00000429154	4
ENST00000268296	0
ENST00000416151	14
ENST00000327423	8
ENST00000317543	0
ENST00000367808	8
ENST00000086933	0
ENST00000304430	1
ENST00000542353	0
ENST00000270001	12
ENST00000251810	11
ENST00000612966	1
ENST00000344862	11
ENST00000277942	0
ENST00000262450	0
ENST00000334920	0
ENST00000620346	0
ENST00000339140	0
ENST00000374391	1
ENST00000389484	0
ENST00000528848	1
ENST00000305135	10
ENST00000259365	4
ENST00000251535	0
ENST00000563197	80
ENST00000273963	2
ENST00000409477	713
ENST00000632897	0
ENST00000370388	0
ENST00000375013	0
ENST00000288532	15
ENST00000377601	0
ENST00000298316	12
ENST00000327441	9
ENST00000601181	0
ENST00000335397	0
ENST00000313599	0
ENST00000402412	3
ENST00000618518	1
ENST00000231198	27
ENST00000378069	0
ENST00000354618	104
ENST00000627109	105
ENST00000637645	0
ENST00000300175	0
ENST00000361335	426
ENST00000243314	0
ENST00000406877	16
ENST00000424970	1
ENST00000367996	0
ENST00000316939	134
ENST00000521654	2
ENST00000377577	55
ENST00000369792	0
ENST00000449802	0
ENST00000600293	0
ENST00000256413	3
ENST00000324348	0
ENST00000355710	1
ENST00000268919	0
ENST00000562787	6
ENST00000608933	3
ENST00000378397	0
ENST00000618722	0
ENST00000199814	56
ENST00000406451	0
ENST00000223369	21
ENST00000261250	23
ENST00000322641	0
ENST00000355705	0
ENST00000606162	10
ENST00000339364	0
ENST00000329434	0
ENST00000307503	0
ENST00000394283	1
ENST00000612814	4
ENST00000621112	0
ENST00000321582	2
ENST00000280706	0
ENST00000377716	3
ENST00000434815	0
ENST00000263549	3
ENST00000313033	0
ENST00000396965	0
ENST00000532205	7
ENST00000332582	0
ENST00000324787	99
ENST00000413767	0
ENST00000260402	0
ENST00000331456	15
ENST00000532870	0
ENST00000367658	0
ENST00000342374	23
ENST00000593756	0
ENST00000377636	2
ENST00000309154	0
ENST00000376974	0
ENST00000427587	2
ENST00000545871	11
ENST00000316737	0
ENST00000328504	0
ENST00000434551	0
ENST00000263708	2
ENST00000039007	0
ENST00000493196	7
ENST00000287647	36
ENST00000370228	2
ENST00000304218	2522
ENST00000382622	0
ENST00000402551	70
