trans_id	strand	gene_id	gene_name	gene_biotype	gene_start	gene_stop	trans_start	trans_start.1	CDS_length	5UTR_length	3UTR_length	transcript_length	CAI	tAI
ENST00000341695	-	ENSG00000138777	PPA2	protein_coding	105369077	105474081	32	1036	1005	31	648	1684	0.74094297960505	0.403278952629322
ENST00000264954	-	ENSG00000109519	GRPEL1	protein_coding	7058906	7068197	166	819	654	165	1956	2775	0.761436729383451	0.44448293199953
ENST00000379303	-	ENSG00000123130	ACOT9	protein_coding	23702253	23743273	130	1476	1347	129	1641	3117	0.724023169731924	0.379019537440169
ENST00000603302	+	ENSG00000138796	HADH	protein_coding	107989714	108035174	220	1215	996	219	817	2032	0.761427798377507	0.400521509682657
ENST00000268704	+	ENSG00000197912	SPG7	protein_coding	89508403	89557766	16	2403	2388	15	673	3076	0.795949236897824	0.408150647322043
ENST00000261733	+	ENSG00000111275	ALDH2	protein_coding	111766922	111817529	62	1615	1554	61	7954	9569	0.835078524070279	0.425211122186761
ENST00000493866	+	ENSG00000136521	NDUFB5	protein_coding	179604791	179627647	26	439	414	25	3607	4046	0.70392141326638	0.364842263891272
ENST00000254630	+	ENSG00000132300	PTCD3	protein_coding	86106182	86142157	67	2136	2070	66	4598	6734	0.716209298483996	0.377442169790084
ENST00000314133	+	ENSG00000176340	COX8A	protein_coding	63974607	63976543	75	284	210	74	223	507	0.72567245676692	0.338429679135202
ENST00000322347	-	ENSG00000178741	COX5A	protein_coding	74919791	74938168	155	607	453	154	661	1268	0.760132014290247	0.373841738942782
ENST00000319080	+	ENSG00000175727	MLXIP	protein_coding	122078722	122147347	133	2892	2760	132	5535	8427	0.80785436607026	0.384235186340609
ENST00000330133	+	ENSG00000183617	MRPL54	protein_coding	3762664	3767565	38	454	417	37	172	626	0.808176252018856	0.390763173394013
ENST00000400033	+	ENSG00000178127	NDUFV2	protein_coding	9104082	9134345	118	876	759	117	66	942	0.722398776077996	0.39764380826901
ENST00000614476	-	ENSG00000122085	MTERF4	protein_coding	241087099	241102295	23	1168	1146	22	3356	4524	0.75781451806767	0.422655553851953
ENST00000620875	-	ENSG00000131269	ABCB7	protein_coding	75053172	75156340	69	2210	2142	68	198	2408	0.698975726193356	0.365755868057234
ENST00000395896	-	ENSG00000129003	VPS13C	protein_coding	61864306	62060448	75	10961	10887	74	3618	14579	0.705750246301568	0.384830200903569
ENST00000238651	+	ENSG00000119673	ACOT2	protein_coding	73569059	73575653	183	1634	1452	182	140	1774	0.781083223399334	0.394466147336319
ENST00000053468	-	ENSG00000048544	MRPS10	protein_coding	42206801	42217865	17	622	606	16	1488	2110	0.670177318309602	0.368934232010215
ENST00000262507	+	ENSG00000088682	COQ9	protein_coding	57447437	57461275	70	1026	957	69	651	1677	0.775752713403467	0.391699156097017
ENST00000321556	+	ENSG00000158828	PINK1	protein_coding	20633455	20651511	95	1840	1746	94	820	2660	0.771285440818783	0.387497005862411
ENST00000225698	-	ENSG00000108561	C1QBP	protein_coding	5432777	5439155	83	931	849	82	238	1169	0.789882766849697	0.397421863839629
ENST00000393868	-	ENSG00000163541	SUCLG1	protein_coding	84423523	84459480	212	1252	1041	211	223	1475	0.749341403461124	0.399372401106366
ENST00000565488	-	ENSG00000085491	SLC25A24	protein_coding	108134036	108200358	221	1654	1434	220	2617	4271	0.733406124275274	0.399904719657617
ENST00000302503	-	ENSG00000109919	MTCH2	protein_coding	47617316	47642623	159	1070	912	158	1517	2587	0.71287956788773	0.367862628834391
ENST00000274137	+	ENSG00000145494	NDUFS6	protein_coding	1801400	1816605	19	393	375	18	689	1082	0.76870462368916	0.386222994849845
ENST00000282276	+	ENSG00000247626	MARS2	protein_coding	197705369	197708387	38	1819	1782	37	1200	3019	0.76767710487146	0.370274199571441
ENST00000373178	+	ENSG00000116863	ADPRHL2	protein_coding	36088875	36093932	31	1122	1092	30	546	1668	0.791522819923601	0.407082453553568
ENST00000535309	+	ENSG00000008394	MGST1	protein_coding	16347694	16377192	40	303	264	39	1028	1331	0.700621642295372	0.353706127433616
ENST00000196371	-	ENSG00000083720	OXCT1	protein_coding	41730065	41870519	162	1724	1563	161	1664	3388	0.721925749667681	0.383361678365842
ENST00000396512	+	ENSG00000100412	ACO2	protein_coding	41469130	41528989	18	2435	2418	17	376	2811	0.832636787151496	0.419040432683484
ENST00000368830	-	ENSG00000143436	MRPL9	protein_coding	151759643	151763564	86	889	804	85	407	1296	0.742052923478454	0.389182998203397
ENST00000316891	-	ENSG00000043514	TRIT1	protein_coding	39841051	39883506	16	1419	1404	15	693	2112	0.73513982513676	0.391931378470053
ENST00000324868	-	ENSG00000139131	YARS2	protein_coding	32746544	32755902	29	1462	1434	28	660	2122	0.710733728489328	0.367357150443276
ENST00000371974	-	ENSG00000148290	SURF1	protein_coding	133351755	133356485	33	935	903	32	158	1093	0.804374492050181	0.378525465936059
ENST00000266544	+	ENSG00000139180	NDUFA9	protein_coding	4649107	4694317	21	1154	1134	20	7209	8363	0.725075484820566	0.357692416815626
